ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investment in joint ventures,Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Leased assets,Intagible fixed assets,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Difference upon Assets Revaluation,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
BID,2025,2,2991644165000000,11226888000000,82653786000000,392598164000000,24033427000000,24070086000000,-36659000000,0,2141443805000000,2179879608000000,-38435803000000,266227690000000,149555637000000,117777936000000,-1105883000000,3849702000000,0,3769837000000,183023000000,-103158000000,11797774000000,6582985000000,0,5214789000000,57812929000000,2991644165000000,2828906855000000,162609396000000,296709453000000,2074787517000000,889430000000,11678398000000,231465862000000,50766799000000,162737310000000,89541970000000,22095156000000,-265450000000,0,45989929000000,0,70213619000000,452623000000,5375705000000,VCI,quarterly
BID,2025,1,2856110951000000,10980778000000,65199611000000,342941105000000,15240465000000,15286000000000,-45535000000,0,2068679098000000,2107329969000000,-38650871000000,279416922000000,161722749000000,118899792000000,-1205619000000,3755518000000,0,3674877000000,182968000000,-102327000000,11896448000000,6635972000000,0,5260476000000,58001006000000,2856110951000000,2700204641000000,147605567000000,304697708000000,1976945954000000,375751000000,11914656000000,210630789000000,48034216000000,155906310000000,89541970000000,19400591000000,-433828000000,0,42040986000000,0,70213619000000,452623000000,5356591000000,VCI,quarterly
BID,2024,4,2760791854000000,10772890000000,92341029000000,279971515000000,12734060000000,12773340000000,-39280000000,663256000000,2018043649000000,2056082420000000,-38038771000000,277838108000000,157918828000000,121120044000000,-1200764000000,3423594000000,0,3348512000000,182914000000,-107832000000,12119817000000,6799205000000,0,5320612000000,52883936000000,2760791854000000,2615880741000000,168388958000000,232954067000000,1953165486000000,0,11981467000000,198900165000000,50490598000000,144911113000000,84788796000000,19396820000000,-701036000000,0,36192494000000,0,68975153000000,452623000000,5234039000000,VCI,quarterly
BID,2024,3,2575981275000000,11014213000000,47435666000000,257504027000000,13275111000000,13309349000000,-34238000000,55744000000,1914427576000000,1953065238000000,-38637662000000,252241222000000,149878420000000,104039495000000,-1676693000000,3401330000000,0,3300404000000,214786000000,-113860000000,11555180000000,6428898000000,0,5126282000000,65071206000000,2575981275000000,2437541619000000,95416021000000,216251762000000,1873724961000000,0,11608178000000,193317084000000,47223613000000,138439656000000,72818002000000,15715341000000,-682384000000,0,45498918000000,0,57004359000000,452623000000,5089779000000,VCI,quarterly
BID,2024,2,2521071363000000,10282845000000,52441064000000,266793924000000,8185847000000,8224631000000,-38784000000,0,1844886186000000,1882815402000000,-37929216000000,247600890000000,146198303000000,102594720000000,-1192133000000,3410230000000,0,3310155000000,214837000000,-114762000000,11585508000000,6512449000000,0,5073059000000,75884869000000,2521071363000000,2386354090000000,131128722000000,193205817000000,1806924961000000,398343000000,11963263000000,197648493000000,45084491000000,134717273000000,72712639000000,15705624000000,-684676000000,0,41935478000000,0,57004359000000,347260000000,5048208000000,VCI,quarterly
BID,2024,1,2328730752000000,10421506000000,36833913000000,231693608000000,6972570000000,7003036000000,-30466000000,34319000000,1752683396000000,1793930234000000,-41246838000000,220214344000000,125391541000000,96015588000000,-1192785000000,3218494000000,0,3118381000000,214871000000,-114758000000,10891070000000,6235651000000,0,4655419000000,55767532000000,2328730752000000,2199712917000000,57022834000000,167810233000000,1734779072000000,0,12190069000000,180564550000000,47346159000000,129017835000000,72711297000000,15670702000000,-557329000000,0,36136858000000,0,57004359000000,345918000000,5056307000000,VCI,quarterly
BID,2023,4,2300814314000000,11029204000000,51615657000000,211808501000000,6972474000000,7003656000000,-31182000000,0,1737244618000000,1777664882000000,-40420264000000,222393123000000,127572432000000,95722385000000,-901694000000,3113075000000,0,3012284000000,214888000000,-114097000000,11096285000000,6401506000000,0,4694779000000,45541377000000,2300814314000000,2177897270000000,35896488000000,182252124000000,1704269050000000,328155000000,12207729000000,189486736000000,53456988000000,122917044000000,72711297000000,12454226000000,-803451000000,0,33588517000000,0,57004359000000,345918000000,4966455000000,VCI,quarterly
BID,2023,3,2132854577000000,10731001000000,42654276000000,194288953000000,5577810000000,5598114000000,-20304000000,0,1611643506000000,1653452141000000,-41808635000000,207553029000000,128583434000000,79616354000000,-646759000000,3139652000000,0,3038666000000,214905000000,-113919000000,10485941000000,5997552000000,0,4488389000000,46780409000000,2132854577000000,2013766739000000,13241998000000,187836067000000,1583543509000000,397807000000,12498953000000,162017847000000,54230558000000,119087838000000,66282564000000,12431580000000,-475072000000,0,36007993000000,0,50585239000000,345918000000,4840773000000,VCI,quarterly
BID,2023,2,2124767632000000,11488667000000,47536512000000,199656173000000,3423599000000,3444114000000,-20515000000,270403000000,1589707330000000,1629066617000000,-39359287000000,219223829000000,147037878000000,72538241000000,-352290000000,3012561000000,0,2906741000000,219426000000,-113606000000,10612120000000,6111439000000,0,4500681000000,39836438000000,2124767632000000,2010615988000000,51539169000000,191545847000000,1545569148000000,0,12840055000000,156249679000000,52872090000000,114151644000000,66204497000000,12486332000000,-716933000000,0,31423098000000,0,50585239000000,267851000000,4754650000000,VCI,quarterly
BID,2023,1,2106864549000000,12400755000000,74131546000000,174793284000000,1602918000000,1624018000000,-21100000000,196039000000,1554793891000000,1597152494000000,-42358603000000,236748894000000,163982486000000,73147741000000,-381333000000,3026702000000,0,2920663000000,215211000000,-109172000000,10375801000000,5988232000000,0,4387569000000,38794719000000,2106864549000000,1997016087000000,123421894000000,146847411000000,1497395473000000,0,13116035000000,169979258000000,46256016000000,109848462000000,66204497000000,12450446000000,-661693000000,0,27028393000000,0,50585239000000,267851000000,4826819000000,VCI,quarterly
BID,2022,4,2120527692000000,13745227000000,111418448000000,221146701000000,1701421000000,1748478000000,-47057000000,1038214000000,1484030778000000,1522228544000000,-38197766000000,235636449000000,162283083000000,73734542000000,-381176000000,2977388000000,0,2871541000000,215076000000,-109229000000,10532205000000,6096042000000,0,4436163000000,38300861000000,2120527692000000,2016322127000000,152752718000000,178797484000000,1473604981000000,0,13237626000000,157051601000000,40877717000000,104205565000000,66204497000000,9730169000000,-770027000000,0,24321599000000,0,50585239000000,267851000000,4719327000000,VCI,quarterly
BID,2022,3,2048952718000000,12176802000000,45003431000000,259681711000000,1110756000000,1164743000000,-53987000000,231930000000,1451882428000000,1494903866000000,-43021438000000,231923491000000,158009095000000,74133661000000,-219265000000,3090065000000,0,2984967000000,215211000000,-110113000000,10131837000000,5800792000000,0,4331045000000,33720267000000,2048952718000000,1948027658000000,134768423000000,199716316000000,1414224009000000,0,14422278000000,144209004000000,40687628000000,100925060000000,66204497000000,9725622000000,-265954000000,0,20593079000000,0,50585239000000,267851000000,4667816000000,VCI,quarterly
BID,2022,2,1979292691000000,11894083000000,48204728000000,216987172000000,1879386000000,1918275000000,-38889000000,0,1443231372000000,1483038764000000,-39807392000000,214473399000000,139398156000000,75304721000000,-229478000000,2964250000000,0,2858229000000,215534000000,-109513000000,10259927000000,5953329000000,0,4306598000000,29398374000000,1979292691000000,1885375152000000,84297021000000,208128128000000,1406297004000000,14923000000,14191937000000,134647176000000,37798963000000,93917539000000,65145472000000,9748561000000,-271563000000,0,16317462000000,0,50585239000000,267851000000,2977607000000,VCI,quarterly
BID,2022,1,1847704434000000,12191932000000,58216772000000,163893889000000,3274752000000,3286806000000,-12054000000,70158000000,1382262545000000,1417854147000000,-35591602000000,190687268000000,119832064000000,71149082000000,-293878000000,2860964000000,0,2748553000000,216431000000,-104020000000,10509295000000,6156731000000,0,4352564000000,23736859000000,1847704434000000,1757866709000000,53362966000000,128450020000000,1396301169000000,0,14229737000000,127868050000000,37654767000000,89837725000000,65145472000000,9695744000000,-472425000000,0,12262506000000,0,50585239000000,267851000000,3206428000000,VCI,quarterly
BID,2021,4,1761938950000000,12660583000000,68851444000000,135940238000000,6066664000000,6083163000000,-16499000000,192282000000,1325577562000000,1354632643000000,-29055081000000,177089395000000,111675313000000,65710756000000,-296674000000,2873924000000,0,2729682000000,215617000000,-71375000000,10741157000000,6338007000000,0,4403150000000,21945701000000,1761938950000000,1675572305000000,25340018000000,98003606000000,1380401585000000,0,14349996000000,123681757000000,33795343000000,86366645000000,65145472000000,8136443000000,-368660000000,0,10269320000000,0,50585239000000,267851000000,3184070000000,VCI,quarterly
BID,2021,3,1686678164000000,11440685000000,64251759000000,115503372000000,6350644000000,6374417000000,-23773000000,378534000000,1298625215000000,1328679993000000,-30054778000000,149752439000000,108253571000000,41950552000000,-451684000000,2902893000000,0,2758223000000,215903000000,-71233000000,10382490000000,6073131000000,0,4309359000000,27090133000000,1686678164000000,1600659921000000,15994609000000,111856972000000,1309952776000000,0,13718677000000,114974920000000,34161967000000,86018243000000,54780413000000,8113154000000,-197504000000,0,20131244000000,0,40220180000000,267851000000,3190936000000,VCI,quarterly
BID,2021,2,1642336884000000,11073415000000,37588465000000,145957757000000,3610379000000,3633620000000,-23241000000,236204000000,1269426338000000,1297445087000000,-28018749000000,135148274000000,107379705000000,28840121000000,-1071552000000,2856693000000,0,2744990000000,216045000000,-104342000000,10152116000000,5924840000000,0,4227276000000,26287243000000,1642336884000000,1557788374000000,16532216000000,102454280000000,1293956654000000,0,12601501000000,97819039000000,34424684000000,84548510000000,54780413000000,8113368000000,-15494000000,0,18484503000000,0,40220180000000,267851000000,3185720000000,VCI,quarterly
BID,2021,1,1558887407000000,10770158000000,91672598000000,85087146000000,3574042000000,3586841000000,-12799000000,221388000000,1210123489000000,1233545783000000,-23422294000000,118019339000000,104553274000000,14379156000000,-913091000000,2842564000000,0,2730734000000,216069000000,-104239000000,10241492000000,6009491000000,0,4232001000000,26335191000000,1558887407000000,1476624113000000,27563388000000,112052995000000,1225957672000000,0,12704814000000,66194902000000,32150342000000,82263294000000,54780413000000,8072474000000,18605000000,0,16156679000000,0,40220180000000,267851000000,3235123000000,VCI,quarterly
BID,2020,4,1516869903000000,12294194000000,49434766000000,85348812000000,10069208000000,10082433000000,-13225000000,167933000000,1195433107000000,1214295917000000,-18862810000000,125215357000000,112192338000000,13603212000000,-580193000000,2763768000000,0,2643474000000,215470000000,-95176000000,10413985000000,6154218000000,0,4259767000000,25728773000000,1516869903000000,1437081446000000,17222797000000,82353246000000,1226673942000000,0,12853270000000,63236692000000,34741499000000,79788457000000,54780413000000,7050915000000,50098000000,0,14680111000000,0,40220180000000,267851000000,3226920000000,VCI,quarterly
BID,2020,3,1467805954000000,10401494000000,40335703000000,116003134000000,5681751000000,5688349000000,-6598000000,222404000000,1125740176000000,1145358910000000,-19618734000000,128835457000000,112696335000000,16758820000000,-619698000000,2706855000000,0,2595476000000,215496000000,-104117000000,10168812000000,5973387000000,0,4195425000000,27710168000000,1467805954000000,1386365229000000,22468994000000,84989916000000,1145003968000000,0,12413555000000,83247645000000,38241151000000,81440725000000,54780413000000,7044607000000,113045000000,0,16305732000000,0,40220180000000,267851000000,3196928000000,VCI,quarterly
BID,2020,2,1446040448000000,11822072000000,28062207000000,107702884000000,4970625000000,4986402000000,-15777000000,208119000000,1120783412000000,1139226525000000,-18443113000000,133058358000000,116708149000000,17057953000000,-707744000000,2700985000000,0,2589563000000,215539000000,-104117000000,10317039000000,6078364000000,0,4238675000000,26414747000000,1446040448000000,1366394306000000,32953523000000,67567177000000,1131397775000000,0,12384593000000,85395126000000,36696112000000,79646142000000,54780413000000,7044619000000,149623000000,0,14522079000000,0,40220180000000,267851000000,3149408000000,VCI,quarterly
BID,2020,1,1446044081000000,9097015000000,26782623000000,121290315000000,5721025000000,5815488000000,-94463000000,210196000000,1088942409000000,1105558635000000,-16616226000000,152666141000000,139280889000000,14069879000000,-684627000000,2833666000000,0,2722192000000,215591000000,-104117000000,10397552000000,6125427000000,0,4272125000000,28103139000000,1446044081000000,1366774763000000,66443740000000,84502099000000,1100292897000000,0,12260010000000,67611653000000,35664364000000,79269318000000,54780413000000,7005898000000,298263000000,0,14015338000000,0,40220180000000,267851000000,3169406000000,VCI,quarterly
BID,2019,4,1490104755000000,14116670000000,135255429000000,54290120000000,6346190000000,6380379000000,-34189000000,92130000000,1102493985000000,1116924879000000,-14430894000000,138122423000000,121819089000000,23262431000000,-6959097000000,2745490000000,0,2628836000000,214679000000,-98025000000,10604693000000,6294526000000,0,4310167000000,26037625000000,1490104755000000,1412338473000000,108760008000000,76607606000000,1114231270000000,0,12386421000000,62772362000000,37580806000000,77766282000000,54780413000000,5743756000000,125582000000,0,13998143000000,0,40220180000000,267851000000,3118388000000,VCI,quarterly
BID,2019,3,1425398552000000,12638511000000,42191695000000,130025743000000,2096049000000,2139394000000,-43345000000,99899000000,1055970052000000,1073510550000000,-17540498000000,142425871000000,125036793000000,24556870000000,-7167792000000,2682443000000,0,2589058000000,214690000000,-121305000000,10223581000000,5947299000000,0,4276282000000,27044708000000,1425398552000000,1366021552000000,94246424000000,89486907000000,1084798261000000,0,12468156000000,49544214000000,35477590000000,59377000000000,34485310000000,5739691000000,172422000000,0,15862761000000,0,34187153000000,267851000000,3116816000000,VCI,quarterly
BID,2019,2,1400111946000000,10274109000000,15351805000000,141847419000000,1369687000000,1453556000000,-83869000000,95015000000,1049681804000000,1065030363000000,-15348559000000,140931407000000,122325988000000,26973408000000,-8367989000000,2616027000000,0,2522724000000,214715000000,-121412000000,10391738000000,6084015000000,0,4307723000000,27552935000000,1400111946000000,1342583471000000,90275153000000,95902394000000,1059790493000000,0,12598267000000,48978420000000,35038744000000,57528475000000,34396605000000,5737923000000,180018000000,0,14137927000000,0,34187153000000,179146000000,3076002000000,VCI,quarterly
BID,2019,1,1342938577000000,9808400000000,32963975000000,112271066000000,4436776000000,4534358000000,-97582000000,130096000000,1011891188000000,1024434938000000,-12543750000000,132222416000000,111939653000000,28530356000000,-8247593000000,2657370000000,0,2565462000000,213320000000,-121412000000,10578239000000,6248936000000,0,4329303000000,25979051000000,1342938577000000,1286286275000000,98575149000000,85946985000000,1014934561000000,0,12598881000000,42102483000000,32128216000000,56652302000000,34396605000000,4645340000000,220257000000,0,14294633000000,0,34187153000000,179146000000,3095467000000,VCI,quarterly
BID,2018,4,1313037674000000,10507558000000,50185159000000,104113340000000,673639000000,790210000000,-116571000000,79755000000,976333888000000,988738780000000,-12404892000000,133142950000000,111419195000000,29847625000000,-8123870000000,2613521000000,0,2522835000000,213320000000,-122634000000,10666712000000,6352251000000,0,4314461000000,24721152000000,1313037674000000,1258344568000000,105297399000000,79198149000000,989671155000000,0,12296196000000,39991361000000,31890308000000,54693106000000,34396605000000,4617990000000,156581000000,0,12483070000000,0,34187153000000,179146000000,3038860000000,VCI,quarterly
BID,2018,3,1268412620000000,8722392000000,34107349000000,81842839000000,1055736000000,1067193000000,-11457000000,12386000000,953925133000000,968752333000000,-14827200000000,150499158000000,124015316000000,36346891000000,-9863049000000,2682196000000,0,2536351000000,234040000000,-88195000000,10079113000000,5800584000000,0,4278529000000,25486318000000,1268412620000000,1214692692000000,84628068000000,74093887000000,953512834000000,0,11995112000000,56207877000000,34254914000000,53719928000000,34396605000000,4599041000000,359609000000,0,11212823000000,0,34187153000000,179146000000,3151850000000,VCI,quarterly
BID,2018,2,1268266720000000,8712476000000,20930738000000,101895742000000,4131050000000,4151499000000,-20449000000,0,917403838000000,929167956000000,-11764118000000,177539264000000,149533200000000,37003689000000,-8997625000000,2651744000000,0,2486899000000,253040000000,-88195000000,10184778000000,5862462000000,0,4322316000000,24817090000000,1268266720000000,1215066822000000,72982248000000,78010124000000,964542964000000,45554000000,11902926000000,57504335000000,30078671000000,53199898000000,34369933000000,4598337000000,333440000000,0,10790130000000,0,34187153000000,152474000000,3108058000000,VCI,quarterly
BID,2018,1,1226942713000000,9441772000000,33804082000000,119261308000000,15448290000000,15465070000000,-16780000000,239856000000,867289606000000,878752977000000,-11463371000000,144638709000000,114362098000000,37710599000000,-7433988000000,2617453000000,0,2447545000000,253040000000,-83132000000,10157583000000,5800659000000,0,4356924000000,24044054000000,1226942713000000,1176139467000000,81334733000000,78920209000000,910053496000000,0,11726912000000,64808937000000,29295180000000,50803246000000,34369933000000,4454838000000,73816000000,0,8931155000000,0,34187153000000,152474000000,2973504000000,VCI,quarterly
BID,2017,4,1201661645000000,8185368000000,29350955000000,118249055000000,9613759000000,9672282000000,-58523000000,150122000000,854948489000000,866000044000000,-11051555000000,146105710000000,118097616000000,38364138000000,-10356044000000,2580777000000,0,2410869000000,253040000000,-83132000000,10319315000000,5921005000000,0,4398310000000,22158095000000,1201661645000000,1152676017000000,77510659000000,91057406000000,859785722000000,0,11722727000000,83738429000000,28861074000000,48985628000000,34369894000000,4427470000000,54268000000,0,7261939000000,0,34187153000000,152435000000,2872057000000,VCI,quarterly
BID,2017,3,1125908666000000,7853188000000,29516918000000,85093478000000,11452531000000,11536744000000,-84213000000,295296000000,813528138000000,828007024000000,-14478886000000,144127877000000,116449647000000,36942961000000,-9264731000000,2590544000000,0,2416875000000,255712000000,-82043000000,9913181000000,5541412000000,0,4371769000000,21537515000000,1125908666000000,1079372560000000,58313248000000,91634526000000,823073422000000,0,11595991000000,69224118000000,25531255000000,46536106000000,34328961000000,3552454000000,0,-74815000000,5955429000000,0,34187153000000,111502000000,2774077000000,VCI,quarterly
BID,2017,2,1099210264000000,8521995000000,31171132000000,78258195000000,9057299000000,9129176000000,-71877000000,198488000000,793605183000000,806444869000000,-12839686000000,146031508000000,115495776000000,38247248000000,-7711516000000,2772629000000,0,2584869000000,269743000000,-81983000000,9910457000000,5480665000000,0,4429792000000,19683378000000,1099210264000000,1051070527000000,52302804000000,95909471000000,810131074000000,0,11554421000000,55445705000000,25727052000000,48139737000000,34304553000000,3460972000000,72010000000,0,7361000000000,0,34187153000000,87094000000,2941202000000,VCI,quarterly
BID,2017,1,1026251638000000,8441615000000,25725935000000,63945761000000,3756902000000,3821249000000,-64347000000,24406000000,746941423000000,758530120000000,-11588697000000,143447552000000,113427131000000,36981767000000,-6961346000000,4567792000000,0,4267804000000,434886000000,-134898000000,9525346000000,5216385000000,0,4308961000000,19874906000000,1026251638000000,980500669000000,40751628000000,86689525000000,762402016000000,0,11471868000000,55491214000000,23694418000000,45750969000000,34304553000000,3377463000000,68309000000,0,6368988000000,0,34187153000000,87094000000,1631656000000,VCI,quarterly
BID,2016,4,1006635168000000,7106546000000,35824409000000,62862794000000,10016260000000,10086214000000,-69954000000,0,713681558000000,723697407000000,-10015849000000,144192808000000,113149624000000,37332990000000,-6289806000000,4332542000000,0,3994120000000,457466000000,-119044000000,9721971000000,5373524000000,0,4348447000000,18896280000000,1006635168000000,962417764000000,43392136000000,92449724000000,726185075000000,103320000000,11361960000000,66642041000000,22283508000000,44217404000000,34304553000000,3366960000000,-110574000000,0,5052981000000,0,34187153000000,87094000000,1603484000000,VCI,quarterly
BID,2016,3,950377914000000,7044288000000,14740194000000,77178121000000,11758138000000,12048694000000,-290556000000,77766000000,664598285000000,675211926000000,-10613641000000,139745964000000,105790813000000,39054949000000,-5099798000000,4444526000000,0,4106520000000,445310000000,-107304000000,8388058000000,4426561000000,0,3961497000000,22402574000000,950377914000000,904464860000000,46421476000000,78678458000000,709881032000000,0,11436064000000,37280406000000,20767424000000,45913054000000,34271776000000,2508280000000,-7179000000,0,7742151000000,0,34187153000000,54317000000,1398026000000,VCI,quarterly
BID,2016,2,930457634000000,7322912000000,27425759000000,65176517000000,11273430000000,11563617000000,-290187000000,78105000000,647649624000000,657574379000000,-9924755000000,137351657000000,102097415000000,38988346000000,-3734104000000,4434937000000,0,4078067000000,464174000000,-107304000000,8334736000000,4348045000000,0,3986691000000,21409957000000,930457634000000,886036771000000,38135002000000,76737106000000,692818664000000,0,18271442000000,40778128000000,19296429000000,44420863000000,34271776000000,2467998000000,63455000000,0,6233043000000,0,34187153000000,54317000000,1384591000000,VCI,quarterly
BID,2016,1,858962424000000,6636528000000,10485479000000,59857030000000,8790503000000,8816974000000,-26471000000,55212000000,614994652000000,623740516000000,-8745864000000,123414893000000,87201825000000,39276189000000,-3063121000000,4472018000000,0,4098657000000,532943000000,-159582000000,8459969000000,4512993000000,0,3946976000000,21796140000000,858962424000000,815199182000000,20688427000000,86516836000000,612338872000000,0,30289566000000,46367519000000,18997962000000,43763242000000,34271776000000,2464005000000,-13000000,0,5617562000000,0,34187153000000,54317000000,1409912000000,VCI,quarterly
BID,2015,4,850748064000000,6588860000000,21705301000000,67188969000000,8872216000000,8903189000000,-30973000000,0,591091131000000,598456601000000,-7365470000000,121404980000000,87437078000000,36860978000000,-2893076000000,5250650000000,0,4870439000000,539662000000,-159451000000,8535138000000,4554713000000,0,3980425000000,20110819000000,850748064000000,808419328000000,45401599000000,79750569000000,564588887000000,4067000000,35295248000000,65542241000000,17836717000000,40933712000000,34271776000000,2462392000000,-42485000000,0,4242029000000,1395024000000,34187153000000,54317000000,0,VCI,quarterly
BID,2015,3,786161308000000,5953426000000,20870002000000,65374425000000,8128137000000,8180567000000,-52430000000,0,541668711000000,550302435000000,-8633724000000,109990720000000,75754506000000,36642071000000,-2405857000000,5333203000000,0,4906500000000,592603000000,-165900000000,7539734000000,3787905000000,0,3751829000000,21302950000000,786161308000000,746180700000000,17864795000000,81232254000000,543117601000000,16569000000,33178175000000,52010756000000,18760550000000,39699859000000,34271776000000,1688186000000,166434000000,0,3573463000000,280749000000,34187153000000,54317000000,0,VCI,quarterly
BID,2015,2,724761897000000,6668609000000,25470618000000,49051710000000,3523935000000,3563056000000,-39121000000,13483000000,509015603000000,518252943000000,-9237340000000,98957501000000,70910511000000,30241968000000,-2194978000000,5052319000000,0,4608566000000,609653000000,-165900000000,7655824000000,3880063000000,0,3775761000000,19352295000000,724761897000000,689243673000000,15028320000000,74043345000000,531062885000000,0,34561250000000,15037913000000,19509960000000,35244251000000,31565860000000,1688378000000,-71029000000,0,2061042000000,0,31481237000000,54317000000,273973000000,VCI,quarterly
BID,2015,1,662205689000000,5688195000000,13506646000000,42726263000000,12475047000000,12511164000000,-36117000000,81772000000,457574958000000,465174747000000,-7599789000000,95913981000000,76404660000000,21210949000000,-1701628000000,4600920000000,0,4318309000000,421871000000,-139260000000,6597852000000,3390731000000,0,3207121000000,23040055000000,662205689000000,626954315000000,14830009000000,87986471000000,463566173000000,0,31403272000000,15462751000000,13705639000000,34905840000000,28142332000000,1656813000000,-9708000000,0,5116403000000,345534000000,28112026000000,0,0,VCI,quarterly
BID,2014,4,650363736768585,5393845132561,23097742685911,50062367254860,8430818138551,8461175274232,-30357135681,0,439154335637787,445693100274482,-6538764636695,91635095276938,73993122223310,19528126873965,-1886153820337,4797057753676,0,4314382882338,621834614467,-139159743129,6672040369041,3458405190716,0,3213635178325,21120434519260,650363736768585,616661021923886,20120993119037,86186208632007,440471588952563,74760347252,35445267393686,20077031075455,14285172403886,33367041478330,28142332545741,1654965930923,-30514283725,0,3600257285391,335673366369,28112026440000,0,0,VCI,quarterly
BID,2014,3,598942480881498,4417070321775,9661712400147,58136897854357,4280292881444,4304663545126,-24370663682,0,405158201205955,412433580390187,-7275379184232,82628439433797,66138736765178,17506578203131,-1016875534512,4773356345958,0,4279500854520,769791254077,-275935762639,5305594023826,3046549727331,0,2259044296495,24580916414239,598942480881498,566567026485216,22597070499800,60113441405536,399573612418733,143527380727,43255525190089,25315029333153,15568820257178,32047629284761,28142332545741,953446912291,-136320444579,0,3088170271308,327825111521,28112026440000,0,0,VCI,quarterly
BID,2014,2,578648864000000,4736256000000,7462050000000,57060069000000,9660200000000,9685700000000,-25500000000,79330000000,389653363000000,397428424000000,-7775061000000,77445307000000,63457784000000,15012287000000,-1024764000000,4503292000000,0,3894889000000,884339000000,-275936000000,5110431000000,2846382000000,0,2264049000000,22938566000000,578648864000000,545214944000000,18169197000000,60267895000000,385786476000000,0,44154994000000,22412453000000,14423929000000,33132937000000,28142332000000,953096000000,-129519000000,0,4167028000000,0,28112026000000,0,300983000000,VCI,quarterly
BID,2014,1,572262674167788,4376772243275,5222710412317,58123897078404,6848901405284,6875211395347,-26309990063,196292920017,391709209268135,398286825653714,-6577616385579,73672315958697,60212381952115,13795032653452,-335098646870,4452745072013,0,3890328532263,890856354573,-328439814823,5143847091683,2635453042162,231161110377,2277232939144,22515982717963,572262674167788,538513167556490,13818593716474,60532721095504,357856434472944,0,62488422000038,30279326574564,13537669696966,33450450570023,28142022298214,379082798591,-178449601807,0,5107795075025,299056041275,28112026440000,0,0,VCI,quarterly
BID,2013,4,548511388913930,3862685505457,12834854572235,47658555007240,1557981904571,1590265825547,-32283920976,239871757696,384837316274769,391036377109713,-6199060834944,68072439463129,56842104511595,11565433619404,-335098667870,4392181501154,3285985103965,516012045049,919192338277,-329007986137,5201099269778,2682617164535,240709788781,2277772316462,19854403657901,548511388913930,516190106708006,16495829820479,47565279691092,339135417772422,0,67245420369600,33254352912209,12493806142204,32069640411263,28142022232024,377911591283,-57412514129,0,3607119102085,251641794661,28112026440000,0,0,VCI,quarterly
BID,2013,3,535794170465457,3862884937323,10893623319431,50176564453447,2378214841937,2413220373396,-35005531459,153050923789,365890278107671,373204758176067,-7314480068396,73779409221314,65557836725344,8605320159816,-383747663846,4474698516158,0,3857099352167,996547739413,-378948575422,3941363357808,1554454250315,222795708071,2164113399422,20244082786579,535794170465457,504100741267799,11045181141748,50805407296558,340844002386515,0,71671491285417,17707793001281,12026866156280,31445531430926,28142022232024,378152761974,9734361097,0,2915622075831,247897766732,28112026440000,0,0,VCI,quarterly
BID,2013,2,520714645000000,4230051000000,12349356000000,47882191000000,7434733000000,7469896000000,-35163000000,0,357424628000000,364771312000000,-7346684000000,64778643000000,58292286000000,6900105000000,-413748000000,4415372000000,0,3794423000000,996095000000,-375146000000,3978991000000,1581814000000,241342000000,2155835000000,18220680000000,520714645000000,492377891000000,10567921000000,45326779000000,335008850000000,201947000000,71967828000000,16746811000000,12557755000000,28121804000000,24429611000000,378444000000,-32551000000,0,3346300000000,0,23011705000000,1387910000000,214950000000,VCI,quarterly
BID,2013,1,485923015573649,3883141865081,9081807858871,46665541100396,6887446680897,6933326108463,-45879427566,0,338146075537069,344893379493348,-6747303956279,55358065299878,54009169173259,1782225799086,-433329672467,4321888962793,0,3693410693042,996094955709,-367616685958,4121447269072,1692911345808,268923364913,2159612558351,17457600999592,485923015573649,458051255802627,8750599136245,39763896262580,320039353795861,206720515676,60900062741698,16832873155022,11557750195545,27658447317357,24429610794226,375848066787,-31809699815,0,2884798156159,213312453665,23011705420000,1387909582202,0,VCI,quarterly
