ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
GVR,2025,2,1952839612873,604768192738,-15249141162,-3089310946,-732098527144,205480824971,2418582685509,162244409425,-611416776532,-129606739649,-341758545541,-68481190748,-97875024750,126481050039,-221810031080,1236359836673,-222390544380,279515153676,-4414525860474,4876722079652,0,0,546032689886,1065353518360,655358477036,-2853062182585,-65459998880,-2263163704429,38549650604,5298973931543,208660751465,5546184333612,VCI,quarterly
GVR,2025,1,1564239447509,648915608703,8680881023,-3602775722,-536750036402,-69400548964,1584049766965,-504926903359,-345921249943,-212401042745,80784987909,-80388356193,-509837285864,28898373964,-595521482458,-555263191724,-185150286941,435279599915,-3120293323295,2907360134897,0,0,214447987054,251644111630,1153893978387,-1359655760050,-519824350,-206281606013,-509900686107,5778855663194,30018954456,5298973931543,VCI,quarterly
GVR,2024,4,2397292637124,806888111774,72079255329,-30819005580,-417296695695,87067268582,2915211571534,-181049642649,-1230503671339,1170600706105,-2539794532681,-100038514273,-343426052428,-1015120270750,-2275955547021,-3600075953502,-154541205196,-38049069218,1882541486680,-538685187257,-2395724298,0,112708265252,1261578565963,3646566669817,-1344217230017,-77271159336,2225078280464,-113419107075,5861455764689,30819005580,5778855663194,VCI,quarterly
GVR,2024,3,1306406770290,710091590295,87492810,181628121143,-379667246346,81287573713,1899834301905,-424350889374,212988773478,931494820344,204700462648,-42467261366,-55880251741,2318645377395,-1024474582119,4020490751170,-189860737886,222642572708,-1728046263663,-29114930392,-1720000000,0,68591038677,-1657508320556,966020341136,-1492899531211,3308382650,-523570807425,1839411623189,4203672262643,-181628121143,5861455764689,VCI,quarterly
GVR,2024,2,1124198925483,584859211765,4907309805,-166422324469,953855927362,90526866806,2591925916752,500808317187,-246551344743,135476222293,-198282544330,-115696432322,225129313553,-708714405447,-1140131974262,1043963068681,-129217467173,67213980531,-1251393193209,392575450987,-3375000000,0,-44744374370,-968940603234,882916587772,-1547041291144,14783234984,-649341468388,-574319002941,4611568941115,166422324469,4203672262643,VCI,quarterly
GVR,2024,1,778493106267,601889514729,-8028161027,-11483011088,-1715813263683,94023493348,-260918321454,88429981288,278279684859,-1022588605245,-41615952388,-84866499246,-621751502843,746101659235,-111456752090,-1030386307884,-122680364250,100530666849,-1063865271389,1614607160704,-3395082000,0,222365098554,747562208468,1082319356392,-1734782415322,-28715922141,-681178981071,-964003080487,5564089010514,11483011088,4611568941115,VCI,quarterly
GVR,2023,4,1671824924423,683467977203,29170250592,-16409245598,-529304168171,114630440966,1953380179415,-126569368418,314264774029,236954201982,45141308076,-97601831027,-204690621063,1091815502102,-4903038120825,-1690343975729,-267151872374,244871197934,1846672782824,-395450013454,-3009652887,3000001000,123144023634,1552076466677,1431160369940,-1076192351928,-89617252885,265350765127,127083256075,5534414228098,16409245598,5677906729771,VCI,quarterly
GVR,2023,3,622186362463,618961558110,-26162130156,5220356537,-385693644838,85426215156,919938717272,-145918443339,219386660068,572779725724,189228650381,-188638878257,-568019244039,2532953158476,-273362106067,3258348240219,5897257670,120513777208,-1512937551524,-1746739556,-133061085356,0,-15923403287,-1537257744845,817057630156,-1300496928354,722869471,-482716428727,1238374066647,4301260517988,-5220356537,5534414228098,VCI,quarterly
GVR,2023,2,881917424904,578798942573,-35053624043,27982542854,412105897251,-248251457417,1617499726122,121988672917,186473171183,36455641291,52897842907,-38854522131,349201491158,-851329509088,626160670607,2100493184966,-339354428341,65460358457,-1467200087986,703206971579,2362265834,0,18805272113,-1016719648344,1126238050659,-1484981326375,27662532970,-331080742746,752692793876,3576550266966,-27982542854,4301260517988,VCI,quarterly
GVR,2023,1,947879551549,561275832426,-12375576579,8511415383,-1254614300775,490848598668,741525520672,41084881790,105742659041,-1197226420176,-187424190313,-216656362298,-376674835535,892218594273,-626160670607,-823570823153,-160012048879,112837847728,-1126629040539,1380997168922,-9276649127,0,226032618567,423949896672,1197387906781,-1543789451299,-39208391174,-385609935692,-785230862173,4370292544522,-8511415383,3576550266966,VCI,quarterly
GVR,2022,4,1659478254742,584973101940,56239016946,7164045883,-1051866752194,135190692016,1391178359333,-314799145484,1400642927723,59585804163,-43488623819,-114874895306,-236792513733,1145380500625,-4522634468266,-1235802054764,38228010695,22861315499,672857372545,25463487753,-6576350801,0,18723211434,771557047125,724939951435,-1059857526849,-169149930002,-504067505416,-968312513055,5139700491513,-7164045883,4164223932575,VCI,quarterly
GVR,2022,3,1180651241595,613604521544,-9149506663,39130372827,499921912213,125792619081,2449951160597,-122663390208,-830478682472,106268266851,230660177981,-115991385166,-136634166008,-515362790490,0,1065749191085,-125770094972,178235789621,-1187014846643,30176910105,4939126727,0,-18402508776,-1117835623938,918668359303,-1661340395454,524269083,-742147767068,-794234199921,5973065064261,-39130372827,5139700491513,VCI,quarterly
GVR,2022,2,1397798591471,569119901788,-2334906675,-18290663171,-468318045435,114189185275,1592164063253,701280215369,-652041608623,129726643754,391826861894,-99714328148,-167319501169,284861174345,454509179521,2635292700196,-216633983893,6500997551,-1808824684328,497858530058,-25977600638,0,32386936157,-1514689805093,1214414872582,-1477666154268,45577797611,-217673484075,902929411028,5051844990062,18290663171,5973065064261,VCI,quarterly
GVR,2022,1,1499275181572,625064296389,64401954126,3668062137,-237802988592,126126544553,2080733050185,-260060811753,-469136867113,-975676106782,-469471326174,-101290928107,-220548962032,432692488123,-454509179521,-437268643174,-171446392936,128401222238,-1197806592158,1525707090947,-18895494577,0,222018028924,487977862438,1368139598326,-1608206888161,-58748217998,-298815507833,-248106288569,5303619340768,-3668062137,5051844990062,VCI,quarterly
GVR,2021,4,2098105858192,542448743340,8429755382,3285047238,-142920169962,149982084060,2659331318250,-245017308802,35453964340,1011214620421,-144587780189,0,-455618181691,135722744703,-5269358187792,-2272858810760,-500559019719,-179668786432,1373982814659,-489781723973,38661998686,40575341676,388974497667,672185122564,1655206659248,-2148198558574,99660845806,-393331053520,-1994004741716,7325879254255,-3285047238,5328589465301,VCI,quarterly
GVR,2021,3,1669962815295,628177457934,23402796260,10453230199,344105429468,155537227760,2831638956916,-153737083616,-433068626001,337108042739,308421360583,0,-677824946650,-14600001151,0,2197937702820,-75711482463,214756940535,-891256994985,142795602558,-52200400000,0,5240617483,-656375716872,-173929772214,-398030115753,-190832995396,-762792883363,778769102585,6557563381869,-10453230199,7325879254255,VCI,quarterly
GVR,2021,2,1264471185132,547996917869,-5420332125,6372128374,-332341604919,129519085126,1610597379457,256077037501,-687619262387,644357858223,-110427623677,-102084457002,309050558348,1789501603047,933422767674,4642875861184,-198316488418,-5169221656,-1752264548137,727585862471,-821180218,0,-33681441507,-1262667017465,527694385413,-2047836243924,45325598140,-1474816260371,1905392583348,4658542926895,-6372128374,6557563381869,VCI,quarterly
GVR,2021,1,1303977102002,547177896021,-7428157247,1013878657,-221232892878,147115291428,1770623117983,277214662836,-408202436275,-982864763850,77595808463,-132082842620,-358297903688,184597007783,-933422767674,-504840117042,-186909554163,127228207801,-1317507142683,1323210816474,-17693819782,0,307541951744,235870459391,1426580579687,-1965156998592,-61180732722,-599757151627,-868726809278,5528283614830,-1013878657,4658542926895,VCI,quarterly
GVR,2020,4,3652592919231,976808199329,49288645008,11594340881,-1604445401110,262816256119,3348654959458,-388542136625,527003642146,-2599772278528,-147374705717,-210434680628,-619327826520,-249096022233,334557974173,1264714125,-305436944977,-122601238457,1070988014506,-895117100959,5697624141,47509209936,-199002970517,-397963406327,3216107413342,-2837595230484,117665486043,496177668901,99478976699,6130627169973,-11594340881,6218511805791,VCI,quarterly
GVR,2020,3,1463072920528,530313388170,-7563754335,3414302805,-271056237243,191494522550,1909675142475,27886749398,753461426490,3086490026236,-203429662364,-272590026024,-87189495710,6698789740,-2332389220003,2888613730238,-156847754197,2409255571,-491052453384,54839725462,-17925991000,0,24724444223,-583852773325,896518326857,-1161420044543,-88187667127,-353089384813,1951671572100,4182369900678,-3414302805,6130627169973,VCI,quarterly
GVR,2020,2,567937563707,467601103875,-77593809878,61316253,-334562021546,142470146433,765914298844,160791984559,-193214354497,852118763907,-164869800633,11177862123,-8887766899,370675582765,-1238470185903,555236384266,-173373405701,106570204785,-1844028132177,645805033874,-23952981000,0,-62911503831,-1351890784050,1248493035567,-1034289248814,-54675843535,159527943218,-637126456566,4819557673497,-61316253,4182369900678,VCI,quarterly
GVR,2020,1,402218324420,452920033584,-19496546784,-3874599926,-246892077066,154519031067,739394165295,227110018329,181987563268,-1151690556394,-27693700750,-160243548915,-339170731903,933915028731,-2603504068837,-2199895831176,-219216394257,131039138963,-1652421646353,1455553960949,-20627612000,0,338137975346,32465422648,1231361220637,-1296225908931,-66809781404,-131674469698,-2299104878226,7114787951797,3874599926,4819557673497,VCI,quarterly
GVR,2019,4,1984895965363,447955272534,41575786137,-7907692488,-672851479902,193818998376,2000047053152,330847529899,100465203620,890822951011,311000550843,-347272343963,-266515847376,722951402448,-1000442762272,2741903737362,-658620720,-23638785184,30993002825,-842408219006,31735745994,-6066350372,-53124961594,-863168188057,1749627148503,-2020282728680,168141687974,-102513892203,1776221657102,4458357044277,7907692488,6242486393867,VCI,quarterly
GVR,2019,3,1416747005439,430039924534,-10851313868,17351521768,-151202184435,172530172094,1878923449876,-176028000069,-218862261677,691807494809,136921333358,69952466,-114632283744,-846603344654,-1575044803939,-218365219574,-147195789183,-41840556512,410338666395,-263838306436,-11551647161,53123674675,-52151486420,-53115444642,874044555836,-869703534170,-59190510778,-54849489112,-326330153328,4802038719373,-17351521768,4458357044277,VCI,quarterly
GVR,2019,2,896386911319,337661275215,13497862449,-13164641132,-720515123741,134065665081,692826746857,633104552118,72689916538,-153992854161,-440886870535,-219283471829,-124890850464,1664481788824,-942299795337,1181749162011,-339037668057,193753989584,-1482577663361,1515840731776,269388088084,0,10154623997,167522102023,1404071700542,-2010650974108,-103036242638,-709615516204,639655747830,4149218330411,13164641132,4802038719373,VCI,quarterly
GVR,2019,1,409192779027,522411807693,-7782805025,-1064311047,36345330555,130116801415,1044325873016,120028338352,141720835506,-351999705458,-18894811753,-142569215442,-404071727886,973087901515,-1581278815813,-219651327963,-360809419912,419340810449,-1764303404648,1399166295333,-343845052756,3080000000,208563038191,-438807733343,1325606481023,-1562332453167,-116401298283,-353127270427,-1011586331733,5159740351097,1064311047,4149218330411,VCI,quarterly
GVR,2018,4,2359237110060,1100154036526,685984535033,-332571956,-35340124776,232463549322,4271944642434,-810814135050,-109345849333,594671027877,-119444818818,-199157393504,-223625032784,9964336998,-842926829678,2571265948142,-606618579867,175969889065,-3880783362924,2872411230210,0,17415848990,713150871566,-708454102960,2068196924662,-2528807596124,0,-460610671462,1402201173720,3759431541373,332571956,5161965287049,VCI,quarterly
GVR,2018,3,615916972537,439207551169,-6136083838,-83735769804,1206211703,138939933017,1040024767302,-255046936892,-163623741767,82978404549,-51401772989,-49308125678,-203487734929,2078620844,-385495959599,16717520841,-150885742507,77443630409,-2691871604829,1792503181398,50377879889,0,124722424192,-797710231448,2912423187324,-3093513687056,-8287220594,-189377720326,-970370430933,4646066202502,83735769804,3759431541373,VCI,quarterly
