ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Net income from associated companies,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,data_source,period_type
MSN,2025,2,-0.08802710379718065,18425059000000,1032192000000,1.0537987213899562,367427000000,-1111787000000,18425059000000,-109919000000,18315140000000,-12625712000000,5689428000000,-1387959000000,1241070000000,-3328768000000,-956663000000,1624535000000,238346000000,0,-16608000000,221738000000,1846273000000,-183243000000,-43654000000,1619376000000,587184000000,1032192000000,VCI,quarterly
MSN,2025,1,0.00021343706420406505,18946395000000,393500000000,2.770746291540496,576758000000,-1392622000000,18946395000000,-49857000000,18896538000000,-12702295000000,6194243000000,-1882532000000,1190093000000,-3709832000000,-849360000000,1519370000000,11235000000,0,-308236000000,-297001000000,1222369000000,-217864000000,-21465000000,983040000000,589540000000,393500000000,VCI,quarterly
MSN,2024,4,0.08991401708517521,22735941000000,691055000000,12.790760327279983,1967701000000,-1526425000000,22735941000000,-34410000000,22701531000000,-15638991000000,7062540000000,-1917003000000,763709000000,-3604582000000,-905824000000,3366541000000,68022000000,0,-777933000000,-709911000000,2656630000000,-605522000000,-504550000000,1546558000000,855503000000,691055000000,VCI,quarterly
MSN,2024,3,0.06568735718869959,21574637000000,701071000000,13.492124193815116,854509000000,-1707361000000,21574637000000,-87742000000,21486895000000,-15066285000000,6420610000000,-2032036000000,1158157000000,-3678318000000,-1129210000000,1593712000000,35316000000,0,-63278000000,-27962000000,1565750000000,-371275000000,106538000000,1301013000000,599942000000,701071000000,VCI,quarterly
MSN,2024,2,0.08057926726049318,20203516000000,502577000000,3.7730829866849014,647309000000,-1549022000000,20203516000000,-69120000000,20134396000000,-14216646000000,5917750000000,-2051759000000,1273366000000,-3702498000000,-910503000000,1173665000000,58136000000,0,-63041000000,-4905000000,1168760000000,-239401000000,16603000000,945962000000,443385000000,502577000000,VCI,quarterly
MSN,2024,1,0.012150712435703816,18942352000000,104356000000,-0.5144312867877998,574011000000,-1621898000000,18942352000000,-87454000000,18854898000000,-13600060000000,5254838000000,-1899341000000,1248537000000,-3579977000000,-971437000000,626631000000,18552000000,0,-11520000000,7032000000,633663000000,-294738000000,139926000000,478851000000,374495000000,104356000000,VCI,quarterly
MSN,2023,4,0.00667352957612526,20860307000000,50110000000,-0.887909629795325,644411000000,-1669014000000,20860307000000,-78387000000,20781920000000,-15014087000000,5767833000000,-1614622000000,945882000000,-3820368000000,-1030071000000,893065000000,84343000000,0,-29575000000,54768000000,947833000000,-495321000000,64264000000,516776000000,466666000000,50110000000,VCI,quarterly
MSN,2023,3,0.03406823443684531,20244809000000,48376000000,-0.9109351842475905,420977000000,-1744521000000,20244809000000,-89898000000,20154911000000,-14215276000000,5939635000000,-2386183000000,1048977000000,-3623606000000,-956812000000,442988000000,163235000000,0,-23318000000,139917000000,582905000000,-318800000000,220408000000,484513000000,436137000000,48376000000,VCI,quarterly
MSN,2023,2,0.04673486601218017,18696931000000,105294000000,-0.8926569281005107,689805000000,-1785953000000,18696931000000,-88370000000,18608561000000,-13281084000000,5327477000000,-2139281000000,923588000000,-3432137000000,-902880000000,466572000000,18075000000,0,-33756000000,-15681000000,450891000000,-256119000000,234415000000,429187000000,323893000000,105294000000,VCI,quarterly
MSN,2023,1,0.027235279856328305,18714952000000,214915000000,-0.865331353234579,650012000000,-1746572000000,18714952000000,-8725000000,18706227000000,-13620060000000,5086167000000,-1989427000000,977535000000,-3316244000000,-860239000000,547804000000,44323000000,0,-10782000000,33541000000,581345000000,-218546000000,76652000000,439451000000,224536000000,214915000000,VCI,quarterly
MSN,2022,4,-0.13620805754361662,20722018000000,447050000000,-0.9305479279885869,654309000000,-1486306000000,20722018000000,-79237000000,20642781000000,-15088612000000,5554169000000,-1822737000000,749326000000,-3250042000000,-922716000000,962309000000,103036000000,0,-162040000000,-59004000000,903305000000,-199110000000,99359000000,803554000000,356504000000,447050000000,VCI,quarterly
MSN,2022,3,-0.18097770656671086,19577827000000,543155000000,-0.5266441589045681,330194000000,-1126241000000,19577827000000,-54772000000,19523055000000,-14098747000000,5424308000000,-1666642000000,1144826000000,-3284082000000,-985235000000,963369000000,35374000000,0,-89851000000,-54477000000,908892000000,-230839000000,162931000000,840984000000,297829000000,543155000000,VCI,quarterly
MSN,2022,2,-0.1721827308032728,17862146000000,980911000000,0.23970891369655087,585014000000,-1073800000000,17862146000000,-28093000000,17834053000000,-12866613000000,4967440000000,-1576125000000,1251638000000,-2933387000000,-1025072000000,1269508000000,61066000000,0,-69387000000,-8321000000,1261187000000,-68216000000,21902000000,1214873000000,233962000000,980911000000,VCI,quarterly
MSN,2022,1,-0.10343942978800508,18218759000000,1595880000000,7.517265303944068,1006046000000,-1161355000000,18218759000000,-29423000000,18189336000000,-13100229000000,5089107000000,-1296138000000,1193860000000,-3044028000000,-921291000000,2027556000000,80231000000,0,-34021000000,46210000000,2073766000000,-128585000000,-50208000000,1894973000000,299093000000,1595880000000,VCI,quarterly
MSN,2021,4,0.08549477069089179,23989594000000,6436813000000,23.269162902581193,6011282000000,-1137928000000,23989594000000,-161791000000,23827803000000,-16950557000000,6877246000000,-1560899000000,991807000000,-3306185000000,-1083981000000,7929270000000,162178000000,0,-94646000000,67532000000,7996802000000,-691143000000,-186803000000,7118856000000,682043000000,6436813000000,VCI,quarterly
MSN,2021,3,0.15957578868971317,23903900000000,1147456000000,0.3475670051274102,326610000000,-1157486000000,23903900000000,-299091000000,23604809000000,-17508621000000,6096188000000,-1366192000000,933881000000,-3083017000000,-1170650000000,1736820000000,146681000000,0,-20435000000,126246000000,1863066000000,-405005000000,128271000000,1586332000000,438876000000,1147456000000,VCI,quarterly
MSN,2021,2,0.18884209532256624,21577402000000,791243000000,3.05013769310306,245419000000,-1179868000000,21577402000000,-358108000000,21219294000000,-16372047000000,4847247000000,-1396712000000,1024394000000,-2668793000000,-907764000000,1143791000000,140481000000,0,-142409000000,-1928000000,1141863000000,-216415000000,128014000000,1053462000000,262219000000,791243000000,VCI,quarterly
MSN,2021,1,0.12868500877476938,20320723000000,187370000000,3.39885799149895,216267000000,-1194144000000,20320723000000,-343862000000,19976861000000,-15662741000000,4314120000000,-1382728000000,946559000000,-2728343000000,-902574000000,463301000000,51810000000,0,-28058000000,23752000000,487053000000,-186686000000,42364000000,342731000000,155361000000,187370000000,VCI,quarterly
MSN,2020,4,0.9392978366969397,22100147000000,265226000000,-0.8168307224601393,177224000000,-1138157000000,22100147000000,-500616000000,21599531000000,-16384772000000,5214759000000,-1420426000000,831300000000,-3537186000000,-519668000000,746003000000,548516000000,0,-321222000000,227294000000,973297000000,-377266000000,-11638000000,584393000000,319167000000,265226000000,VCI,quarterly
MSN,2020,3,1.2109539792797628,20614349000000,851502000000,-0.6177989038956142,158539000000,-1090959000000,20614349000000,-400041000000,20214308000000,-15396469000000,4817839000000,-1277077000000,676550000000,-3315413000000,-850418000000,210020000000,977685000000,0,-87303000000,890382000000,1100402000000,-238340000000,110503000000,972565000000,121063000000,851502000000,VCI,quarterly
MSN,2020,2,0.8861741041963948,18149931000000,195362000000,-0.8077720839433871,977810000000,-862707000000,18149931000000,-383549000000,17766382000000,-13871798000000,3894584000000,-1076091000000,604480000000,-3206947000000,-869247000000,324589000000,43580000000,0,-56774000000,-13194000000,311395000000,-303064000000,46077000000,54408000000,-140954000000,195362000000,VCI,quarterly
MSN,2020,1,1.1239916464950743,18003892000000,-78108000000,-1.0902571545446351,117090000000,-678460000000,18003892000000,-366305000000,17637587000000,-13676072000000,3961515000000,-783077000000,527738000000,-3106541000000,-801563000000,-84838000000,43481000000,0,-18898000000,24583000000,-60255000000,-167523000000,11425000000,-216353000000,-138245000000,-78108000000,VCI,quarterly
MSN,2019,4,-0.041489882108488724,11395953000000,1447983000000,0.2729453734749531,237953000000,-468817000000,11395953000000,-420266000000,10975687000000,-7596401000000,3379286000000,-519873000000,650228000000,-1163085000000,-654919000000,1929590000000,103175000000,0,-11562000000,91613000000,2021203000000,-247905000000,-25132000000,1748166000000,300183000000,1447983000000,VCI,quarterly
MSN,2019,3,-0.01344739887230997,9323735000000,2227890000000,1.9784227483589791,791269000000,-492426000000,9323735000000,-355860000000,8967875000000,-6536281000000,2431594000000,-594563000000,552159000000,-1063296000000,-472296000000,1644867000000,1219577000000,0,-197156000000,1022421000000,2667288000000,-276054000000,33626000000,2424860000000,196970000000,2227890000000,VCI,quarterly
MSN,2019,2,0.02285545243091704,9622617000000,1016304000000,-0.541153986635141,86589000000,-451152000000,9622617000000,-372214000000,9250403000000,-6583116000000,2667287000000,-556823000000,533246000000,-956005000000,-485740000000,1288554000000,1003000000,0,-14199000000,-13196000000,1275358000000,-114516000000,30909000000,1191751000000,175447000000,1016304000000,VCI,quarterly
MSN,2019,1,-0.01791698262732901,8476442000000,865394000000,0.0604434924540602,72372000000,-453620000000,8476442000000,-316320000000,8160122000000,-5697141000000,2462981000000,-529303000000,446777000000,-812509000000,-490453000000,1149865000000,1595000000,0,-10219000000,-8624000000,1141241000000,-152108000000,10705000000,999838000000,134444000000,865394000000,VCI,quarterly
MSN,2018,4,0.1282375095417638,11889236000000,1137506000000,-0.3981194971215713,142897000000,-539222000000,11889236000000,-331354000000,11557882000000,-8019375000000,3538507000000,-678083000000,484483000000,-1404730000000,-632290000000,1450784000000,0,0,-11315000000,-11315000000,1439469000000,-232863000000,78784000000,1285390000000,147884000000,1137506000000,VCI,quarterly
MSN,2018,3,-0.024849416859203423,9450824000000,748010000000,-0.012707915917628208,125365000000,-757024000000,9450824000000,-279470000000,9171354000000,-6397520000000,2773834000000,-840287000000,442416000000,-934405000000,-451403000000,1115520000000,2671000000,0,-20935000000,-18264000000,1097256000000,-173030000000,-6159000000,918067000000,170057000000,748010000000,VCI,quarterly
MSN,2018,2,-0.051026242332637445,9407602000000,2214913000000,9.157216033898461,1547263000000,-743283000000,9407602000000,-223214000000,9184388000000,-6376830000000,2807558000000,-791154000000,470369000000,-1018219000000,-479370000000,2536447000000,6079000000,0,-7457000000,-1378000000,2535069000000,-180778000000,41280000000,2395571000000,180658000000,2214913000000,VCI,quarterly
MSN,2018,1,-0.023328868896742516,8631085000000,816068000000,2.442700269571344,86268000000,-757229000000,8631085000000,-357092000000,8273993000000,-5512483000000,2761510000000,-781390000000,517072000000,-956899000000,-452325000000,1174236000000,7664000000,0,-9870000000,-2206000000,1172030000000,-140021000000,-9532000000,1022477000000,206409000000,816068000000,VCI,quarterly
MSN,2017,4,-0.22677526663265948,10537884000000,1889920000000,1.0022756985483416,1045093000000,-913171000000,10537884000000,-368544000000,10169340000000,-6776191000000,3393149000000,-1070217000000,811963000000,-1267135000000,-550099000000,2362754000000,5872000000,0,-26816000000,-20944000000,2341810000000,-237905000000,37582000000,2141487000000,251567000000,1889920000000,VCI,quarterly
MSN,2017,3,-0.15308157035016146,9691656000000,757638000000,-0.06835721347518776,89181000000,-735123000000,9691656000000,-259058000000,9432598000000,-6526489000000,2906109000000,-776747000000,553684000000,-1207412000000,-462358000000,1102457000000,4380000000,0,-14660000000,-10280000000,1092177000000,-151806000000,8094000000,948465000000,190827000000,757638000000,VCI,quarterly
MSN,2017,2,-0.0827718228542614,9913448000000,218063000000,-0.7207857226999647,136226000000,-895085000000,9913448000000,-434605000000,9478843000000,-6615913000000,2862930000000,-926011000000,353446000000,-1601934000000,-462706000000,361951000000,4050000000,0,-12736000000,-8686000000,353265000000,-117698000000,19342000000,254909000000,36846000000,218063000000,VCI,quarterly
MSN,2017,1,-0.041534334981561685,8837248000000,237043000000,-0.06433595692778932,134160000000,-891943000000,8837248000000,-297383000000,8539865000000,-6070243000000,2469622000000,-922609000000,325137000000,-1214391000000,-437194000000,354725000000,3255000000,0,-6595000000,-3340000000,351385000000,-123552000000,34996000000,262829000000,25786000000,237043000000,VCI,quarterly
MSN,2016,4,0.15768531369744637,13628488000000,943886000000,0.05588947618648097,218699000000,-872343000000,13628488000000,-479502000000,13148986000000,-9075263000000,4073723000000,-968824000000,275240000000,-1604875000000,-562560000000,1431403000000,6656000000,0,-11009000000,-4353000000,1427050000000,-310725000000,122449000000,1238774000000,294888000000,943886000000,VCI,quarterly
MSN,2016,3,0.28172277691490316,11443435000000,813228000000,2.6874064803982916,168708000000,-842244000000,11443435000000,-436703000000,11006732000000,-7724908000000,3281824000000,-860218000000,314673000000,-1194561000000,-476922000000,1233504000000,358000000,0,-6616000000,-6258000000,1227246000000,-198402000000,24690000000,1053534000000,240306000000,813228000000,VCI,quarterly
MSN,2016,2,0.54437293861889,10808050000000,780988000000,1.1725975875728847,163764000000,-709454000000,10808050000000,-435330000000,10372720000000,-7210329000000,3162391000000,-729138000000,246933000000,-1173528000000,-377210000000,1293212000000,5762000000,0,-22145000000,-16383000000,1276829000000,-211419000000,21285000000,1086695000000,305707000000,780988000000,VCI,quarterly
MSN,2016,1,1.5426800967962109,9220203000000,253342000000,57.186035829122645,218023000000,-688439000000,9220203000000,-451577000000,8768626000000,-6356479000000,2412147000000,-733046000000,143092000000,-997539000000,-519689000000,522988000000,1896000000,0,-9606000000,-7710000000,515278000000,-171775000000,49991000000,393494000000,140152000000,253342000000,VCI,quarterly
MSN,2015,4,1.2015927069566195,11772187000000,893925000000,-0.35478806907378335,482448000000,-725717000000,11772187000000,-272416000000,11499771000000,-7811393000000,3688378000000,-726773000000,120258000000,-1406512000000,-512093000000,1645706000000,2407000000,0,-13513000000,-11106000000,1634600000000,-316410000000,42977000000,1361167000000,467242000000,893925000000,VCI,quarterly
MSN,2015,3,1.2011068441358044,8928167000000,220542000000,6.86975449614616,348478000000,0,8928167000000,-213356000000,8714811000000,-6118824000000,2595987000000,-818888000000,126979000000,-1096706000000,-445715000000,710135000000,8787000000,0,-36074000000,-27287000000,682848000000,-204128000000,14526000000,493246000000,272704000000,220542000000,VCI,quarterly
MSN,2015,2,0.6704747396604743,6998342000000,359472000000,2.585511836028987,408464000000,-970889000000,6998342000000,-168892000000,6829450000000,-4488102000000,2341348000000,-649731000000,148525000000,-1109468000000,-387102000000,752036000000,11010000000,0,-11399000000,-389000000,751647000000,-168332000000,32133000000,615448000000,255976000000,359472000000,VCI,quarterly
MSN,2015,1,0.3167880926849161,3626175000000,4354000000,1.0408415957676325,142913000000,-399634000000,3626175000000,-41797000000,3584378000000,-2401467000000,1182911000000,-519309000000,0,-431671000000,-319607000000,55237000000,12309000000,103256000000,-13167000000,-858000000,157635000000,-128664000000,28419000000,57390000000,53036000000,4354000000,VCI,quarterly
MSN,2014,4,0.19434976332450007,5347123000000,1385475000000,6.757331944771055,1218176000000,0,5347123000000,-91361000000,5255762000000,-2914991000000,2340771000000,-424546000000,0,-883144000000,-284200000000,1967057000000,276076000000,-46003000000,-39576000000,236500000000,2157554000000,-586952000000,277750000000,1848352000000,462877000000,1385475000000,VCI,quarterly
MSN,2014,3,0.23890535006824917,4056217000000,28024000000,-0.7555648593957156,80324000000,0,4056217000000,-62296000000,3993921000000,-2362782000000,1631139000000,-404682000000,0,-641790000000,-258302000000,406689000000,32559000000,-48552000000,-44828000000,-12269000000,345868000000,-42237000000,-70919000000,232712000000,204688000000,28024000000,VCI,quarterly
MSN,2014,2,0.5071453394126159,4189433000000,-226723000000,-2.66882333024187,79159000000,-484015000000,4189433000000,-65493000000,4123940000000,-2578841000000,1545099000000,-564851000000,0,-721649000000,-257180000000,80578000000,84400000000,2178000000,-68672000000,15728000000,98484000000,-212481000000,47079000000,-66918000000,159805000000,-226723000000,VCI,quarterly
MSN,2014,1,0.7481954970270932,2753803000000,-106607000000,-173.22455573505655,193308000000,-255839000000,2753803000000,-38790000000,2715013000000,-1632394000000,1082619000000,-316912000000,0,-618254000000,-248676000000,92085000000,12252000000,39316000000,-5828000000,6424000000,137825000000,-117007000000,2078000000,22896000000,129503000000,-106607000000,VCI,quarterly
MSN,2013,4,1.0815207460902467,4477016000000,178602000000,-0.9133742206313523,344655000000,0,4477016000000,-39576000000,4437440000000,-2450158000000,1987282000000,-327937000000,0,-658349000000,-325815000000,1019836000000,6881000000,-59500000000,-25916000000,-19035000000,941301000000,-271884000000,17809000000,687226000000,508624000000,178602000000,VCI,quarterly
MSN,2013,3,0.0,3274033000000,114648000000,0.0,92349000000,0,3274033000000,-39019000000,3235014000000,-1840616000000,1394398000000,-121927000000,0,-591193000000,-216852000000,556775000000,23471000000,-62097000000,-25428000000,-1957000000,492721000000,-229735000000,45675000000,308661000000,194013000000,114648000000,VCI,quarterly
MSN,2013,2,0.0,2779714000000,135858000000,0.0,87361000000,-50593000000,2779714000000,-43621000000,2736093000000,-1624772000000,1111321000000,-83825000000,0,-386078000000,-216026000000,512753000000,27244000000,-58053000000,-17479000000,9765000000,464465000000,-176792000000,-21318000000,266355000000,130497000000,135858000000,VCI,quarterly
MSN,2013,1,0.0,1575226000000,619000000,0.0,139756000000,-64602000000,1575226000000,-41240000000,1533986000000,-1026687000000,507299000000,-73096000000,0,-345967000000,-176442000000,51550000000,96431000000,-14900000000,-16266000000,80165000000,116815000000,-119505000000,37821000000,35131000000,34512000000,619000000,VCI,quarterly
MSN,2010,4,0.0,2150839000000,2061765000000,0.0,1772924000000,0,2150839000000,-50404000000,2100435000000,-1166754000000,933681000000,-85964000000,0,-352969000000,-126499000000,2141173000000,11922000000,139854000000,-10496000000,1426000000,2282453000000,-73559000000,18161000000,2227055000000,165290000000,2061765000000,VCI,quarterly
