ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Minority Interest,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
SHB,2025,2,18018126000000,0.6117137080489321,3646899000000,0.5958550379129997,18018126000000,-8858062000000,9160064000000,761293000000,-77138000000,684155000000,68196000000,42089000000,10272000000,455872000000,-60424000000,395448000000,-23293000000,10336931000000,-1620285000000,8716646000000,-4140819000000,4575827000000,-928928000000,-919005000000,-9923000000,0,3646899000000,3646899000000,0,VCI,quarterly
SHB,2025,1,13868209000000,0.06250024420741918,3496350000000,0.08944861221381467,13868209000000,-8324540000000,5543669000000,375946000000,-46695000000,329251000000,48409000000,0,56128000000,86062000000,-14465000000,71597000000,1947000000,6051001000000,-1059418000000,4991583000000,-621079000000,4370504000000,-874154000000,-874154000000,0,0,3496350000000,3496350000000,0,VCI,quarterly
SHB,2024,4,15880029000000,0.04940154483784595,2087502000000,2.604952811860499,15880029000000,-7491828000000,8388201000000,796567000000,-29782000000,766785000000,38523000000,2141000000,-194463000000,618649000000,-136825000000,481824000000,14772000000,9497783000000,-2287293000000,7210490000000,-4689381000000,2521109000000,-433607000000,-447588000000,13981000000,0,2087502000000,2087502000000,2306,VCI,quarterly
SHB,2024,3,10375405000000,-0.2454329384065315,1739931000000,-0.15483666327940265,10375405000000,-7113597000000,3261808000000,236730000000,-92004000000,144726000000,-25716000000,24000000,74788000000,406435000000,-17473000000,388962000000,7111000000,3851703000000,-1160910000000,2690793000000,-517380000000,2173413000000,-433482000000,-421562000000,-11920000000,0,1739931000000,1739931000000,0,VCI,quarterly
SHB,2024,2,11179483000000,-0.19926014805633974,2285232000000,0.17102206780989862,11179483000000,-6767444000000,4412039000000,309730000000,-86363000000,223367000000,21021000000,1164000000,-103428000000,-157295000000,-14036000000,-171331000000,79000000,4382911000000,-1197373000000,3185538000000,-327839000000,2857699000000,-572467000000,-584387000000,11920000000,0,2285232000000,2285232000000,1500,VCI,quarterly
SHB,2024,1,13052429000000,-0.13893527291265956,3209284000000,0.1138829807911236,13052429000000,-7882358000000,5170071000000,226505000000,-77963000000,148542000000,52460000000,0,5042000000,474012000000,-17799000000,456213000000,7540000000,5839868000000,-1114655000000,4725213000000,-708192000000,4017021000000,-807737000000,-807737000000,0,0,3209284000000,3209284000000,0,VCI,quarterly
SHB,2023,4,15132462000000,0.3451712254151729,579065000000,0.2100483338104721,15132462000000,-9776408000000,5356054000000,252767000000,-118521000000,134246000000,45021000000,0,34224000000,307833000000,-24844000000,282989000000,-44293000000,5808241000000,-1192502000000,4615739000000,-3880765000000,734974000000,-155909000000,-155909000000,0,0,579065000000,579065000000,0,VCI,quarterly
SHB,2023,3,13750143000000,0.29524776183514445,2058692000000,-0.2053293744400478,13750143000000,-9328600000000,4421543000000,102011000000,-64117000000,37894000000,107792000000,0,11543000000,38359000000,-25989000000,12370000000,0,4591142000000,-1546063000000,3045079000000,-619788000000,2425291000000,-366599000000,-364243000000,-2356000000,0,2058692000000,2058692000000,0,VCI,quarterly
SHB,2023,2,13961442000000,0.4128573130128226,1951485000000,-0.050277059403521715,13961442000000,-9853823000000,4107619000000,225188000000,-95893000000,129295000000,64569000000,794000000,27358000000,81230000000,-5602000000,75628000000,682856000000,5088119000000,-1086678000000,4001441000000,-1537138000000,2464303000000,-512818000000,-515174000000,2356000000,0,1951485000000,1951485000000,1335,VCI,quarterly
SHB,2023,1,15158476000000,0.6113528028983455,2881168000000,0.11600464968367509,15158476000000,-9314565000000,5843911000000,308594000000,-86270000000,222324000000,64831000000,0,988000000,85883000000,-15931000000,69952000000,1667000000,6203673000000,-1209770000000,4993903000000,-1373956000000,3619947000000,-738779000000,-738779000000,0,0,2881168000000,2881168000000,0,VCI,quarterly
SHB,2022,4,11249469000000,0.12891050478229063,478547000000,-0.4902051230152178,11249469000000,-6957398000000,4292071000000,341389000000,-94496000000,246893000000,20423000000,0,33977000000,134038000000,-24533000000,109505000000,2143000000,4705012000000,-1262779000000,3442233000000,-2818636000000,623597000000,-145050000000,-145050000000,0,0,478547000000,478547000000,0,VCI,quarterly
SHB,2022,3,10615840000000,0.16030190601259892,2590623000000,0.7332616555559421,10615840000000,-5795049000000,4820791000000,339296000000,-84770000000,254526000000,18521000000,0,92525000000,156606000000,-25889000000,130717000000,0,5317080000000,-1179434000000,4137646000000,-879457000000,3258189000000,-667566000000,-661928000000,-5638000000,0,2590623000000,2590623000000,0,VCI,quarterly
SHB,2022,2,9881707000000,0.1301482914720795,2054794000000,0.6867723269366375,9881707000000,-5688307000000,4193400000000,307567000000,-84724000000,222843000000,49071000000,0,-48045000000,272699000000,-26644000000,246055000000,-8147000000,4655177000000,-945575000000,3709602000000,-1159241000000,2550361000000,-495567000000,-501205000000,5638000000,0,2054794000000,2054794000000,1738,VCI,quarterly
SHB,2022,1,9407298000000,0.21499389551745127,2581681000000,0.9409748927708171,9407298000000,-5184552000000,4222746000000,244248000000,-86984000000,157264000000,28270000000,0,65920000000,252310000000,-43071000000,209239000000,10230000000,4693669000000,-995024000000,3698645000000,-472143000000,3226502000000,-644821000000,-644821000000,0,0,2581681000000,2581681000000,0,VCI,quarterly
SHB,2021,4,9964890000000,0.22172260252223217,938705000000,0.46119457117818013,9964890000000,-5190841000000,4774049000000,268716000000,-91382000000,177334000000,33431000000,0,174856000000,818907000000,-15478000000,803429000000,17259000000,5980358000000,-1349761000000,4630597000000,-3461374000000,1169223000000,-230518000000,-230518000000,0,0,938705000000,938705000000,0,VCI,quarterly
SHB,2021,3,9149205000000,0.10113935100308069,1494652000000,0.9735626279978398,9149205000000,-5183611000000,3965594000000,225471000000,-78855000000,146616000000,35466000000,0,475344000000,40616000000,-3532000000,37084000000,0,4660104000000,-911760000000,3748344000000,-1879540000000,1868804000000,-374152000000,-364816000000,-9336000000,0,1494652000000,1494652000000,0,VCI,quarterly
SHB,2021,2,8743726000000,0.13445548128226031,1218181000000,0.7084760358025418,8743726000000,-4077441000000,4666285000000,226673000000,-91543000000,135130000000,21127000000,0,242297000000,137465000000,-214341000000,-76876000000,0,4987963000000,-1251856000000,3736107000000,-2213951000000,1522156000000,-303975000000,-313311000000,9336000000,0,1218181000000,1218181000000,1323,VCI,quarterly
SHB,2021,1,7742671000000,0.03776426885978462,1330095000000,1.164959780199032,7742671000000,-5516822000000,2225849000000,187881000000,-61332000000,126549000000,53515000000,0,51866000000,110082000000,-15289000000,94793000000,2083000000,2554655000000,-890605000000,1664050000000,0,1664050000000,-333955000000,-333955000000,0,0,1330095000000,1330095000000,0,VCI,quarterly
SHB,2020,4,8156426000000,0.04351469531243803,642423000000,-0.012703457412066287,8156426000000,-4843814000000,3312612000000,251520000000,-63848000000,187672000000,59884000000,0,897919000000,189616000000,-18147000000,171469000000,0,4629556000000,-1212003000000,3417553000000,-2612241000000,805312000000,-162889000000,-162889000000,0,0,642423000000,642423000000,0,VCI,quarterly
SHB,2020,3,8308853000000,0.14450022032260076,757337000000,0.35323810680999485,8308853000000,-5778480000000,2530373000000,181080000000,-60833000000,120247000000,56486000000,0,381998000000,55911000000,15893000000,71804000000,570000000,3161478000000,-1157726000000,2003752000000,-1056622000000,947130000000,-189793000000,-189793000000,0,0,757337000000,757337000000,0,VCI,quarterly
SHB,2020,2,7707421000000,0.11327821219625213,713022000000,-0.0023478382538127886,7707421000000,-5269383000000,2438038000000,155660000000,-61239000000,94421000000,30629000000,0,24539000000,50526000000,-45549000000,4977000000,833000000,2593437000000,-847568000000,1745869000000,-865382000000,880487000000,-167465000000,-137558000000,-29907000000,0,713022000000,713022000000,0,VCI,quarterly
SHB,2020,1,7460915000000,0.28797929266154176,614374000000,0.03366275998290615,7460915000000,-5776857000000,1684058000000,152218000000,-40531000000,111687000000,44934000000,0,1949000000,12973000000,-7063000000,5910000000,1667000000,1850205000000,-1070706000000,779499000000,0,779499000000,-165125000000,-165125000000,0,0,614374000000,614374000000,0,VCI,quarterly
SHB,2019,4,7816302000000,0.09835921366364526,650689000000,0.3171202208799572,7816302000000,-5334542000000,2481760000000,417108000000,-74475000000,342633000000,99203000000,0,314768000000,168603000000,-24529000000,144074000000,416000000,3382854000000,-1285847000000,2097007000000,-1281866000000,815141000000,-164452000000,-164452000000,0,0,650689000000,650689000000,0,VCI,quarterly
SHB,2019,3,7259809000000,0.3354283186312787,559648000000,1.0083470596890127,7259809000000,-5004995000000,2254814000000,83676000000,-51039000000,32637000000,26018000000,0,113550000000,79767000000,-69320000000,10447000000,668000000,2438134000000,-1023122000000,1415012000000,-714181000000,700831000000,-141183000000,-141183000000,0,0,559648000000,559648000000,0,VCI,quarterly
SHB,2019,2,6923176000000,0.3329903548864224,714700000000,0.7327362783627376,6923176000000,-5205557000000,1717619000000,226678000000,-33626000000,193052000000,17109000000,0,11660000000,56492000000,-38132000000,18360000000,0,1957800000000,-844993000000,1112807000000,-219154000000,893653000000,-178953000000,-141355000000,-37598000000,0,714700000000,714700000000,1607,VCI,quarterly
SHB,2019,1,5792729000000,0.17077690634053963,594366000000,0.477474924493829,5792729000000,-4439947000000,1352782000000,156020000000,-30636000000,125384000000,13942000000,0,30854000000,22933000000,-4386000000,18547000000,1250000000,1542759000000,-799188000000,743571000000,0,743571000000,-149205000000,-149205000000,0,0,594366000000,594366000000,0,VCI,quarterly
SHB,2018,4,7116344000000,0.19851913580101369,494024000000,0.03365708522862798,7116344000000,-4923634000000,2192710000000,442026000000,33442000000,475468000000,10245000000,0,6086000000,126287000000,-15213000000,111074000000,0,2795583000000,-1170654000000,1624929000000,-1004092000000,620837000000,-126813000000,-126813000000,0,0,494024000000,494024000000,0,VCI,quarterly
SHB,2018,3,5436315000000,0.32602007501482416,278661000000,-0.3455497259238035,5436315000000,-4262084000000,1174231000000,153919000000,-92730000000,61189000000,24500000000,0,10511000000,3931000000,0,3931000000,1150000000,1275512000000,-696540000000,578972000000,-230771000000,348201000000,-69540000000,-69540000000,0,0,278661000000,278661000000,0,VCI,quarterly
SHB,2018,2,5193718000000,0.18640715665764973,412469000000,0.05663204922610295,5193718000000,-4106158000000,1087560000000,66966000000,-20056000000,46910000000,-11178000000,-3353000000,235761000000,74486000000,-54384000000,20102000000,1052000000,1376854000000,-675528000000,701326000000,-183024000000,518302000000,-105833000000,-105833000000,0,0,412469000000,412469000000,0,VCI,quarterly
SHB,2018,1,4947765000000,0.25648493073386724,402285000000,0.6416981578668147,4947765000000,-3874741000000,1073024000000,88111000000,-29704000000,58407000000,27549000000,0,28385000000,50024000000,-42864000000,7160000000,0,1194525000000,-625518000000,569007000000,-66150000000,502857000000,-100572000000,-100572000000,0,0,402285000000,402285000000,0,VCI,quarterly
SHB,2017,4,5937614000000,0.2494976326814746,477938000000,0.5337107136209895,5937614000000,-3796006000000,2141608000000,348335000000,-18206000000,330129000000,43307000000,5240000000,22393000000,51582000000,-48259000000,3323000000,1220000000,2547220000000,-816683000000,1730537000000,-1122772000000,607765000000,-129827000000,-129827000000,0,0,477938000000,477938000000,0,VCI,quarterly
SHB,2017,3,4099723000000,0.3777219407969685,425794000000,1.0927240199740496,4099723000000,-3382792000000,716931000000,860390000000,-15980000000,844410000000,30346000000,14454000000,9364000000,223760000000,-60517000000,163243000000,900000000,1779648000000,-630423000000,1149225000000,-620242000000,528983000000,-103189000000,-103189000000,0,0,425794000000,425794000000,0,VCI,quarterly
SHB,2017,2,4377686000000,0.3866719797730294,390362000000,1.3301159799198945,4377686000000,-3515866000000,861820000000,120415000000,-17002000000,103413000000,-34164000000,5497000000,-54677000000,211908000000,-60732000000,151176000000,696000000,1033761000000,-553045000000,480716000000,13886000000,494602000000,-104392000000,-104392000000,0,152000000,390210000000,390362000000,0,VCI,quarterly
SHB,2017,1,3937783000000,0.16087391677979768,245042000000,0.0028484198636359918,3937783000000,-3013250000000,924533000000,93187000000,-15652000000,77535000000,27544000000,1133000000,-200000000,51842000000,-30079000000,21763000000,0,1052308000000,-553602000000,498706000000,-191600000000,307106000000,-62064000000,-62064000000,0,0,245042000000,245042000000,0,VCI,quarterly
SHB,2016,4,4752001000000,0.35417668810399344,311622000000,0.3011031038888379,4752001000000,-2911582000000,1840419000000,205472000000,-13085000000,192387000000,31671000000,1347000000,5883000000,71677000000,-40777000000,30900000000,0,2102607000000,-885775000000,1216832000000,-840887000000,375945000000,-64323000000,-64323000000,0,0,311622000000,311622000000,0,VCI,quarterly
SHB,2016,3,2975726000000,0.011435783039284098,203464000000,0.05476959445098212,2975726000000,-2258563000000,717163000000,77057000000,-19342000000,57715000000,29860000000,0,906000000,566241000000,-240535000000,325706000000,476000000,1131826000000,-623534000000,508292000000,-244692000000,263600000000,-60136000000,-60136000000,0,0,203464000000,203464000000,0,VCI,quarterly
SHB,2016,2,3156973000000,0.14521667525193532,167529000000,-0.1850394275345751,3156973000000,-2357123000000,799850000000,118406000000,-29473000000,88933000000,-3366000000,-1039000000,1426000000,66458000000,-64677000000,1781000000,901000000,888486000000,-541288000000,347198000000,-142781000000,204417000000,-36986000000,-36986000000,0,98000000,167431000000,167529000000,434,VCI,quarterly
SHB,2016,1,3392085000000,0.2710460199307912,244346000000,0.47455765563521374,3392085000000,-2503591000000,888494000000,42280000000,-14902000000,27378000000,26114000000,453000000,-3042000000,70451000000,-30487000000,39964000000,750000000,980111000000,-506872000000,473239000000,-168289000000,304950000000,-60604000000,-60604000000,0,0,244346000000,244346000000,0,VCI,quarterly
SHB,2015,4,3509144000000,0.17375685987402412,239506000000,0.059715249359445555,3509144000000,-2337958000000,1171186000000,175744000000,-23539000000,152205000000,21802000000,1086000000,7099000000,44042000000,-23059000000,20983000000,5030000000,1379391000000,-623630000000,755761000000,-456801000000,298960000000,-59454000000,-59454000000,0,0,239506000000,239506000000,0,VCI,quarterly
SHB,2015,3,2942081000000,0.09991062743201086,192899000000,0.013112073743490455,2942081000000,-2130699000000,811382000000,59824000000,-21938000000,37886000000,23295000000,222000000,2645000000,190577000000,-71167000000,119410000000,284000000,995124000000,-608841000000,386283000000,-138815000000,247468000000,-54569000000,-54569000000,0,0,192899000000,192899000000,0,VCI,quarterly
SHB,2015,2,2756660000000,0.09560477053161119,205567000000,0.10746749857695184,2756660000000,-2095149000000,661511000000,44778000000,-6467000000,38311000000,10884000000,498000000,16155000000,33643000000,-892000000,32751000000,3041000000,763151000000,-348169000000,414982000000,-144237000000,270745000000,-65156000000,-62508000000,-2648000000,-22000000,205589000000,205567000000,0,VCI,quarterly
SHB,2015,1,2668735000000,0.18349605372221736,165708000000,-0.23491962493350566,2668735000000,-2051961000000,616774000000,54888000000,-31882000000,23006000000,35584000000,794000000,165000000,37557000000,-37457000000,100000000,209000000,676632000000,-460070000000,216562000000,-7966000000,208596000000,-42888000000,-42888000000,0,0,165708000000,165708000000,0,VCI,quarterly
SHB,2014,4,2989668576145,0.22035120135088068,226009770214,0.041163626172196405,2989668576145,-2016850168248,972818407897,120014804850,-23354883358,96659921492,18695171087,-3303997782,-743794962,6292262897,-5437316168,854946729,272895040,1085253549501,-521877069515,563376479986,-281663588604,281712891382,-55703121168,-55703121168,0,0,226009770214,226009770214,0,VCI,quarterly
SHB,2014,3,2674836415454,0.29823229903572984,190402429306,-0.19360460520759323,2674836415454,-1939897668135,734938747319,49191461823,-20217540139,28973921684,13831965329,3997857996,-23686862975,40765675738,-6514651366,34251024372,4834894305,797141548030,-430884409562,366257138468,-130716620970,235540517498,-45138088192,-45138088192,0,0,190402429306,190402429306,0,VCI,quarterly
SHB,2014,2,2516108065742,0.09758595374905019,185618991315,0.3389180197122172,2516108065742,-1789838341968,726269723774,189904818093,-12994535503,176910282590,28914311741,-2614707822,-6316227484,28751435313,-1394314698,27357120615,6165592000,956686095414,-294675379011,662010716403,-433762787275,228247929128,-42554937813,-42554937813,0,-74000000,185692991315,185618991315,0,VCI,quarterly
SHB,2014,1,2254958934258,-0.08004572850505534,216589008685,0.32820935934403656,2254958934258,-1905404658032,349554276226,65107181907,-38396464497,26710717410,5009688259,1957707822,50891227484,9727564687,-1381685302,8345879385,65408000,442534904586,-381775620989,60759283597,215933787275,276693070872,-60104062187,-60104062187,0,0,216589008685,216589008685,0,VCI,quarterly
SHB,2013,4,2449842777092,0.0,217074208638,0.0,2449842777092,-1779025989601,670816787491,52604336719,-40534469973,12069866746,-66918123889,711325021,-3820789312,22006699109,-11093781452,10912917657,2578069000,626350052714,-407477964908,218872087806,68517035295,287389123101,-70314914463,-70314914463,0,0,217074208638,217074208638,0,VCI,quarterly
SHB,2013,3,2060368100101,0.0,236115472057,0.0,2060368100101,-1510252137253,550115962848,53454055241,-13431390590,40022664651,38359371493,9999276930,-3069064975,14414133600,-5215418919,9198714681,1684594978,646311520606,-378989968693,267321551913,46934658099,314256210012,-78140737955,-78140737955,0,0,236115472057,236115472057,0,VCI,quarterly
SHB,2013,2,2292401845293,0.0,138633574709,0.0,2292401845293,-1737071395249,555330450044,68113191081,-13681111480,54432079601,33971724308,1568881222,-9893779449,9538581288,-10202570868,-663989580,1682402800,636427768946,-350934155343,285493613603,-102940829718,182552783885,-43915209176,-43915209176,0,-4000000,138637574709,138633574709,340,VCI,quarterly
SHB,2013,1,2451164154707,0.0,163068425291,0.0,2451164154707,-2023541604751,427622549956,44888808919,-11232888520,33655920399,57987275692,-3398881222,501779449,17665418712,-2335429132,15329989580,301597200,532000231054,-455595844657,76404386397,141208829718,217613216115,-54544790824,-54544790824,0,0,163068425291,163068425291,0,VCI,quarterly
