ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Cash and Cash Equivalents at the end of period,data_source,period_type
VRE,2025,2,1545019000000,340735000000,25749000000,56175000000,-676861000000,151143000000,1425160000000,-142878000000,-25088000000,650406000000,2178000000,-124108000000,0,0,-762000000,1784908000000,-254589000000,122000000,3401991000000,-3403000000000,0,0,795547000000,540071000000,0,0,0,0,-5884000000,0,-5884000000,2319095000000,2916158000000,5235253000000,VCI,yearly
VRE,2025,1,1475999000000,346476000000,10874000000,0,-624898000000,148520000000,1373771000000,-17215000000,21097000000,-1692000000,-27775000000,-119196000000,-1076603000000,0,0,152387000000,-169202000000,179000000,-3408879000000,3408879000000,0,0,53463000000,-115560000000,0,0,0,0,-5349000000,0,-5349000000,31478000000,2884680000000,2916158000000,VCI,yearly
VRE,2024,4,1370326000000,353691000000,54515000000,47472000000,-547306000000,147490000000,1426188000000,-270719000000,-43800000000,-24910000000,31465000000,-123506000000,0,0,0,994718000000,-2343371000000,230000000,-2428453000000,6430025000000,0,-3865560000000,165601000000,-2041528000000,0,0,995040000000,-485080000000,-5349000000,0,504611000000,-542199000000,3426879000000,2884680000000,VCI,yearly
VRE,2024,3,1118747000000,352651000000,68090000000,24911000000,-385597000000,139906000000,1318708000000,-176203000000,-22616000000,-109426000000,-22808000000,-112916000000,-1629000000,0,0,873110000000,-989133000000,3098000000,-4984000000,-1515560000000,0,3865560000000,196551000000,1555532000000,362000000,0,0,0,-5350000000,0,-4988000000,2423654000000,1003225000000,3426879000000,VCI,yearly
VRE,2024,2,1276824000000,340927000000,64364000000,-718000000,-420065000000,138247000000,1399579000000,-5951989000000,282212000000,2930062000000,6976000000,-105854000000,-1211688000000,0,0,-2650702000000,-395572000000,27000000,0,903510000000,0,0,230612000000,738577000000,0,0,-700000000,0,-5349000000,0,-6049000000,-1918174000000,2921399000000,1003225000000,VCI,yearly
VRE,2024,1,1367432000000,331835000000,52426000000,0,-439256000000,140458000000,1452895000000,-9096000000,129151000000,154458000000,-15847000000,-109539000000,-61039000000,0,0,1540983000000,-464369000000,7674000000,-2908222000000,612050000000,-352000000,0,37435000000,-2715784000000,0,0,0,0,-5349000000,0,-5349000000,-1180150000000,4101549000000,2921399000000,VCI,yearly
VRE,2023,4,1353140000000,354339000000,58225000000,0,-340972000000,74129000000,1498861000000,-1110118000000,151334000000,-190568000000,40005000000,-65057000000,-64394000000,0,0,260063000000,-6299062000000,810659000000,1967824000000,-2935375000000,1956182000000,-550416000000,348783000000,-4701405000000,0,0,1782123000000,0,-5349000000,0,1776774000000,-2664568000000,6766117000000,4101549000000,VCI,yearly
VRE,2023,3,1655773000000,366316000000,28109000000,0,-301542000000,75889000000,1824545000000,-259160000000,665661000000,-853104000000,30288000000,-57316000000,-299157000000,0,0,1051757000000,-72156000000,5052000000,-1963362000000,11930000000,0,0,222816000000,-1795720000000,0,0,0,0,-5350000000,0,-5350000000,-749313000000,7515430000000,6766117000000,VCI,yearly
VRE,2023,2,1268392000000,362055000000,562000000,0,-278316000000,80000000000,1432693000000,-17347000000,-24124000000,-27546000000,31712000000,-86860000000,-210918000000,0,0,1097610000000,-24810000000,1245000000,0,0,0,-1081000000,202590000000,177944000000,0,0,0,-1050000000000,-5349000000,0,-1055349000000,220205000000,7295225000000,7515430000000,VCI,yearly
VRE,2023,1,1248782000000,371221000000,542000000,0,-223816000000,100408000000,1497137000000,92943000000,-249323000000,262751000000,-35172000000,-83906000000,-1848000000,0,0,1482582000000,-1925740000000,0,0,0,0,544849000000,179235000000,-1201656000000,0,0,0,0,-5349000000,0,-5349000000,275577000000,7019648000000,7295225000000,VCI,yearly
VRE,2022,4,1022487000000,379539000000,11740000000,0,-200941000000,92124000000,1304949000000,-98323000000,-59942000000,1540257000000,-164139000000,-73782000000,87759000000,0,0,2536779000000,-77933000000,336000000000,-7718000000,6961000000,0,0,113058000000,370368000000,0,0,0,0,-21397000000,0,-21397000000,2885750000000,4133898000000,7019648000000,VCI,yearly
VRE,2022,3,989990000000,369244000000,-11246000000,0,-130364000000,89433000000,1307057000000,-68533000000,-43587000000,-25408000000,-18962000000,-88719000000,-49324000000,0,0,1012524000000,-2128247000000,2418000000,0,200191000000,0,0,135581000000,-1790057000000,2000000,0,0,0,10698000000,0,10700000000,-766833000000,4900731000000,4133898000000,VCI,yearly
VRE,2022,2,959465000000,355256000000,3380000000,0,-104396000000,88086000000,1301791000000,-258486000000,-24325000000,-94038000000,2417000000,-76452000000,-96002000000,0,0,754905000000,102993000000,8000000,304000000,0,0,0,164676000000,267981000000,0,0,0,0,-10698000000,0,-10698000000,1012188000000,3888543000000,4900731000000,VCI,yearly
VRE,2022,1,500680000000,347891000000,21805000000,0,-102854000000,89512000000,857034000000,206171000000,51702000000,-135889000000,12759000000,-86818000000,-101442000000,0,0,803517000000,-434963000000,0,-101980000000,295000000000,0,0,29909000000,-212034000000,0,0,0,0,0,0,0,591483000000,3297060000000,3888543000000,VCI,yearly
VRE,2021,4,180713000000,362639000000,81917000000,0,-46030000000,93444000000,672683000000,362555000000,-303115000000,-217529000000,47546000000,-79952000000,-115888000000,0,0,366300000000,22561000000,449242000000,-408395000000,100000000000,0,0,77857000000,241265000000,0,0,0,0,0,0,0,607565000000,2689495000000,3297060000000,VCI,yearly
VRE,2021,3,48354000000,368766000000,36718000000,0,-78188000000,88352000000,464002000000,-327727000000,13801000000,-15693000000,10196000000,-94164000000,-168966000000,0,0,-118551000000,-95154000000,-1000000,0,500000000000,0,0,83350000000,488195000000,0,0,0,0,10698000000,0,10698000000,380342000000,2309153000000,2689495000000,VCI,yearly
VRE,2021,2,483399000000,375274000000,8142000000,0,-122495000000,151082000000,895402000000,81950000000,4919000000,271952000000,14946000000,-140001000000,0,0,0,1129168000000,-1113381000000,1000000,0,1685000000000,0,0,155611000000,727231000000,0,0,0,-2550000000000,-10698000000,0,-2560698000000,-704299000000,3013452000000,2309153000000,VCI,yearly
VRE,2021,1,979811000000,374875000000,17037000000,0,-98576000000,153298000000,1426445000000,-482070000000,233676000000,-438483000000,71874000000,-205582000000,-298836000000,0,0,307024000000,-381308000000,465820000000,-1850000000000,1386000000000,0,0,85009000000,-294479000000,0,0,0,-50000000000,0,0,-50000000000,-37455000000,3050907000000,3013452000000,VCI,yearly
VRE,2020,4,1211053000000,365823000000,-3696000000,0,-81348000000,161339000000,1653171000000,161035000000,683907000000,-1387374000000,88014000000,-88995000000,-303717000000,0,0,806041000000,-63754000000,0,2631000000,0,0,0,90479000000,29356000000,0,0,-10007000000,0,0,0,-10007000000,825390000000,2225517000000,3050907000000,VCI,yearly
VRE,2020,3,716426000000,376220000000,2656000000,0,-76789000000,124676000000,1143189000000,-144910000000,-192886000000,140213000000,7388000000,-176624000000,-142933000000,0,0,633437000000,-2707514000000,-111000000,-1828567000000,0,0,0,97563000000,-4438629000000,0,0,1915245000000,0,10212000000,0,1925457000000,-1879735000000,4105252000000,2225517000000,VCI,yearly
VRE,2020,2,445767000000,365361000000,1498000000,0,-57553000000,98889000000,853962000000,-773642000000,-36227000000,1145903000000,-12387000000,1000000,-1202000000,0,0,1176408000000,-1122387000000,111000000,0,950000000000,0,0,41708000000,-130568000000,0,0,1015245000000,0,-10212000000,0,1005033000000,2050873000000,2054379000000,4105252000000,VCI,yearly
VRE,2020,1,619476000000,369018000000,1497000000,0,-47014000000,78682000000,1021659000000,-22593000000,17211000000,580647000000,-32248000000,-131452000000,-144953000000,0,0,1288271000000,-386149000000,0,-1050000000000,800000000000,0,0,13913000000,-622236000000,0,0,0,0,0,0,0,666035000000,1388344000000,2054379000000,VCI,yearly
VRE,2019,4,1111190798290,391148743459,2239124387,0,-47480654682,79191842282,1536290029297,534045632767,-71049616824,-921748575742,45067030884,-218988090,-170311698949,0,0,952073813343,-626265922820,1608521190217,88684,0,0,-96000000000,121076764511,1007332120592,0,-1954258000000,0,0,0,-343229,-1954258343229,5147590706,1383196409294,1388344000000,VCI,yearly
VRE,2019,3,901124903752,321103609295,2417121364,0,-60445901973,74460048430,1238659780868,22460798862,-34686374088,-117706406248,20880659193,-130997997928,-134493664802,0,0,864116795857,-336514126609,2698550,-9232453749,130000000000,0,96000000000,23719155585,-96024726223,0,0,0,0,0,-87274971143,-87274971143,680817098491,702379310803,1383196409294,VCI,yearly
VRE,2019,2,787797510257,384544247098,1903776301,0,-68865085569,72880845064,1178261293151,-372612158533,-44473171388,198130474829,18618119284,-169054,-143354683730,0,0,834569704559,-724867311042,487111233,-24708634935,1650000000000,0,0,218231382664,1119142547920,0,0,0,0,0,-2363940685628,-2363940685628,-410228433149,1112607743952,702379310803,VCI,yearly
VRE,2019,1,777838787701,350527400148,1622977948,0,-79560357776,72474264224,1122903072245,86125726904,82557162300,-58053492839,24227190639,-126813844928,-214690952519,0,0,916254861802,-2254787639529,0,0,0,0,0,19759697240,-2235027942289,0,0,0,0,0,0,0,-1318773080487,2431380824439,1112607743952,VCI,yearly
VRE,2018,4,903226911680,318850385072,12959810578,0,-88580076549,86348208071,1232805238852,50511030919,595252511443,-388387598680,-6571241022,-538949582,-168213187708,0,0,1314857804222,-724100158973,583486150434,-685953287489,469577854,-2000000000,-548305307561,167921252346,-1208481773389,0,0,0,0,0,0,0,106376030833,2325004793606,2431380824439,VCI,yearly
VRE,2018,3,675482265107,302767892268,-27672970735,0,-95511838368,57175075903,912240424175,-29398149917,981166708249,-268234097615,65718650235,-136130718331,-78993393677,0,0,1446369423119,-758410253021,-483870037785,0,0,0,548305307561,40328881967,-653646101278,0,0,0,0,0,0,0,792723321841,1532281471765,2325004793606,VCI,yearly
VRE,2018,2,772024294616,275953144530,14339470495,0,-147205164924,100426744267,1015538488984,-108023810942,-335794492032,233178860600,-24737435352,-101900392780,-120742364303,132200000000,0,689718854175,-940513353316,485859121694,0,2658798917095,0,136694692439,297212822529,2638052200441,0,0,0,-3200000000000,0,0,-3200000000000,127771054616,1404510417149,1532281471765,VCI,yearly
VRE,2018,1,702051870224,259427905031,2949458580,0,-186563425859,131320985678,909186793654,345273511547,-152731679130,-611975755875,-51495791697,-122175000000,-193293460636,0,0,122788617863,-154909596766,0,0,0,0,0,15102164171,-139807432595,0,0,0,0,0,0,0,-17018814732,1421529231881,1404510417149,VCI,yearly
VRE,2017,4,659739572053,244805814435,1443640628,0,-122631789280,128434159902,911791397738,-41504877104,56115542228,79245435628,-134482293340,-132226881071,-69999536471,0,0,668938787608,-445739897509,0,-1832457281075,0,0,50000000000,360048702802,-1868148475782,0,0,0,-47038260825,0,405159000000,358120739175,-841088948999,2262618180880,1421529231881,VCI,yearly
VRE,2017,3,449719724903,257482366105,-4319287095,400000000,-145684811424,138733929485,696331921974,-27412017413,-788150986367,1642800586405,-56270151782,-154555665353,-74683837565,0,0,1238059849899,-6298563096344,0,-827822233,-10333822101,0,3493335000000,966301046558,-1850088694120,0,-250013763,62000000,-1324000000,0,-1666713061645,-1668225075408,-2280253919629,4542872100509,2262618180880,VCI,yearly
VRE,2017,2,272464329228,233241885345,10638930006,-400000000,79647511018,132234118817,727826774414,33038968820,-409173716967,117188429124,108923298979,-171679810723,-50158555462,0,0,355965388185,-97130321328,9933583949,-58896443453,85027910267,0,33565090414,159035800703,131535620552,0,0,1860055470,-662000000,0,0,1198055470,488699064207,4054173036302,4542872100509,VCI,yearly
